wl,int
649.99,0.00017711
651.02,0.00017745
652.05,0.00017806
652.98,0.00017953
654.01,0.00017912
655.03,0.0001798
655.96,0.0001816
656.99,0.00018202
658.02,0.00018294
659.04,0.00018361
659.97,0.00018433
661,0.00018525
662.03,0.00018724
662.95,0.00018787
663.98,0.00018832
665.01,0.00018976
666.04,0.00019065
666.97,0.00019226
667.99,0.0001944
669.02,0.00019541
670.05,0.00019644
670.98,0.00019794
672,0.00020122
673.03,0.0002034
673.96,0.00020549
674.99,0.00020642
676.01,0.00021329
677.04,0.00021359
677.97,0.00022417
679,0.00022566
680.02,0.00023143
680.95,0.00025559
681.98,0.00070187
683.01,0.004756
684.03,0.01948
684.96,0.035627
685.99,0.032575
687.02,0.043731
688.04,0.031187
688.97,0.037177
690,0.025951
691.02,0.031549
691.95,0.030604
692.98,0.045829
694.01,0.046886
695.03,0.044179
695.96,0.040217
696.99,0.041862
698.02,0.040572
699.04,0.033272
699.97,0.026936
701,0.029458
702.02,0.030656
702.95,0.030269
703.98,0.031453
705.01,0.033434
706.03,0.032653
706.96,0.040892
707.99,0.045736
709.01,0.048765
710.04,0.05242
710.97,0.054959
711.99,0.059561
713.02,0.063601
714.05,0.067402
714.97,0.072739
716,0.081066
717.03,0.086413
717.95,0.092253
718.98,0.10068
720.01,0.10733
721.03,0.11802
721.96,0.12581
722.99,0.13291
724.01,0.14146
725.04,0.14945
725.97,0.1556
727,0.14522
728.02,0.15181
729.05,0.17641
729.97,0.18414
731,0.18378
732.03,0.18871
732.95,0.19306
733.98,0.19518
735.01,0.19744
736.03,0.19792
736.96,0.19891
737.99,0.20026
739.01,0.20119
740.04,0.19878
740.97,0.19459
741.99,0.20169
743.02,0.20078
744.05,0.19661
744.97,0.19521
746,0.19298
747.02,0.18761
748.05,0.1831
748.98,0.17795
750,0.17175
751.03,0.16732
751.95,0.16548
752.98,0.16061
754.01,0.15956
755.03,0.15566
755.96,0.15406
756.99,0.15555
758.01,0.15414
759.04,0.15227
759.96,0.15742
760.99,0.1627
762.02,0.16895
763.04,0.17384
763.97,0.17997
764.99,0.18559
766.02,0.19172
767.05,0.20175
767.97,0.21029
769,0.22226
770.02,0.23476
771.05,0.25257
771.97,0.25832
773,0.27241
774.03,0.28462
774.95,0.29165
775.98,0.30303
777,0.30886
778.03,0.31712
778.95,0.31126
779.98,0.31756
781.01,0.332
782.03,0.33745
782.96,0.34151
783.98,0.34581
785.01,0.34804
786.03,0.34554
786.96,0.34693
787.98,0.3424
789.01,0.33705
790.04,0.32667
790.96,0.3185
791.99,0.30857
793.01,0.2995
794.04,0.29311
794.96,0.28375
795.99,0.28054
797.01,0.27123
798.04,0.26198
798.96,0.2577
799.99,0.25273
801.01,0.24979
802.04,0.2475
802.96,0.24561
803.99,0.21952
805.01,0.26292
806.04,0.27609
806.96,0.28519
807.99,0.29809
809.02,0.31478
810.04,0.3368
810.97,0.35757
811.99,0.38816
813.02,0.42047
814.04,0.45685
814.97,0.50221
815.99,0.53924
817.02,0.58349
818.04,0.62983
818.96,0.67464
819.99,0.73557
821.01,0.79246
822.04,0.84087
822.96,0.88081
823.99,0.91819
825.01,0.9401
826.04,0.9567
826.96,0.98413
827.99,0.99589
829.01,1
830.04,0.97028
830.96,0.9548
831.99,0.91268
833.01,0.84181
834.04,0.77111
834.96,0.63047
835.98,0.57572
837.01,0.5784
838.03,0.51967
838.96,0.47018
839.98,0.42885
841.01,0.38534
842.03,0.34643
842.96,0.32308
843.98,0.30225
845.01,0.2803
846.03,0.25578
846.95,0.24665
847.98,0.2369
849,0.22927
850.03,0.2238
850.95,0.22078
851.97,0.21908
853,0.21837
854.02,0.21849
855.05,0.2198
855.97,0.2177
857,0.22205
858.02,0.22696
859.04,0.23433
859.97,0.24119
860.99,0.24607
862.01,0.25264
863.04,0.25933
863.96,0.26485
864.99,0.27108
866.01,0.27093
867.03,0.27152
867.96,0.27429
868.98,0.27576
870.01,0.27765
871.03,0.27314
871.95,0.27266
872.98,0.26522
874,0.25662
875.03,0.25075
876.05,0.21785
876.97,0.20912
878,0.22135
879.02,0.21498
880.04,0.20729
880.97,0.20034
881.99,0.19363
883.01,0.19023
884.04,0.18468
884.96,0.1771
885.98,0.17459
887.01,0.17273
888.03,0.17286
888.95,0.1708
889.98,0.16889
891,0.16821
892.02,0.16942
893.05,0.16848
893.97,0.16898
894.99,0.17267
896.02,0.17783
897.04,0.18245
897.96,0.18244
898.99,0.19506
900.01,0.20499
901.03,0.21202
901.96,0.21994
902.98,0.22923
904,0.23942
905.03,0.25679
906.05,0.26246
906.97,0.24621
907.99,0.25659
909.02,0.28999
910.04,0.28724
910.96,0.29586
911.99,0.29751
913.01,0.25936
914.03,0.24894
914.95,0.25987
915.98,0.2514
917,0.23606
918.02,0.22553
919.05,0.21288
919.97,0.19542
920.99,0.18224
922.01,0.17789
923.04,0.16918
923.96,0.16069
924.98,0.15171
926,0.14356
927.03,0.13616
928.05,0.13254
928.97,0.12778
929.99,0.11068
931.02,0.11193
932.04,0.11818
932.96,0.11671
933.98,0.11417
935.01,0.11094
936.03,0.10791
936.95,0.10823
937.97,0.10794
939,0.10787
940.02,0.10816
941.04,0.10749
941.96,0.11014
942.98,0.11167
944.01,0.11735
945.03,0.12046
946.05,0.12647
946.97,0.13416
947.99,0.13625
949.02,0.14274
950.04,0.14428
950.96,0.14667
951.98,0.15306
